Publisher,Genres,App_Name,Release_Date,Id,Developer
Kotoshiro,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,2018-01-04,761140,Kotoshiro
"Making Fun, Inc.","['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,2018-01-04,643980,Secret Level SRL
Poolians.com,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,2017-07-24,670290,Poolians.com
彼岸领域,"['Action', 'Adventure', 'Casual']",弹炸人2222,2017-12-07,767400,彼岸领域
,"['Action', 'Indie', 'Casual', 'Sports']",Log Challenge,,773570,
Trickjump Games Ltd,"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,2018-01-04,772540,Trickjump Games Ltd
,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,2018-01-04,774276,Poppermost Productions
Poppermost Productions,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,2018-01-04,774277,Poppermost Productions
Poppermost Productions,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,2018-01-04,774278,Poppermost Productions
RewindApp,"['Casual', 'Indie', 'Racing', 'Simulation']",Race,2018-01-04,768800,RewindApp
Qucheza,"['Action', 'Indie', 'Simulation', 'Early Access']",Uncanny Islands,Soon..,768570,Qucheza
,['Casual'],Icarus Six Sixty Six,,724910,
Stegalosaurus Game Development,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,770380,Stegalosaurus Game Development
Copperpick Studio,"['Casual', 'Indie']",Beach Rules,2018-01-04,768880,Copperpick Studio
Ghulam Jewel,"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,2018-01-03,765320,Ghulam Jewel
Apillo,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,2018-01-03,773650,Apillo
Poppermost Productions,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,2018-01-03,774271,Poppermost Productions
Apillo,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,2018-01-03,773690,Apillo
Poppermost Productions,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,2018-01-03,774279,Poppermost Productions
,"['Early Access', 'Indie', 'VR']",After Life VR,,772590,
,"['Early Access', 'Action', 'Adventure', 'Indie', 'Casual']",Kitty Hawk,,640250,
Tero Lunkka,"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,2018-01-03,768060,Tero Lunkka
,"['Early Access', 'Strategy', 'Action', 'Indie', 'Casual', 'VR']",Mortars VR,,711440,
FrozenPepper,"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,2017-12-22,775880,FrozenPepper
FrozenPepper,"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,2017-12-23,775881,FrozenPepper
Casey Labrack,"['Action', 'Indie']",DinoBlaster,2018-01-03,653960,Casey Labrack
,"['Design & Illustration', 'Tutorial']",Robotpencil Presents: Understanding 3D for Concept,2018-01-03,777910,
Stainless Games Ltd,"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,1997-06-30,282010,Stainless Games Ltd
Valve,['Action'],Half-Life,1998-11-08,70,Valve
dev4play,"['Action', 'Indie', 'RPG']",Fallen Mage,2016-11-25,752360,dev4play
,"['Action', 'Indie', 'VR']",Don't Get Hit In The Face,,594200,
BlueLine Games,"['Casual', 'Indie', 'Strategy']",Lost Cities,2018-01-01,520680,BlueLine Games
Games by Brundle,['Action'],Twisted Enhanced Edition,2018-01-01,690410,Games by Brundle
ETGgames,"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,2018-01-01,766850,ETGgames
ProjectorGames,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",Tactics Forever,2018-01-01,413120,ProjectorGames
Unknown Indie Devs,"['Adventure', 'Casual', 'Indie']",Christmas Santa Troubles,2017-12-30,773120,Unknown Indie Devs
,"['Action', 'Free to Play', 'Strategy']",Kingdom Watcher,,680970,
,"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,2018-01-01,754360,The Commander
Cisamid Inc.,"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,2018-01-01,716110,"lalalaZero,Urbanoff"
Strategy First,['Strategy'],Disciples II: Gallean's Return,2006-07-06,1640,Strategy First
Strategy First,['Strategy'],Disciples II: Rise of the Elves,2006-07-06,1630,Strategy First
Blazing Griffin Ltd.,"['Action', 'Indie', 'RPG']",The Ship: Murder Party,2006-07-11,2400,Outerlight Ltd.
Zachary M Thomas,['Strategy'],United Tactics,,662570,Zachary M Thomas
Breakout Studio,"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",Life of Rome,2017,381620,Breakout Studio
zha7,"['Adventure', 'Free to Play', 'RPG', 'Early Access']",Idle Adventure,Beta测试已开启,714020,"zha7,Phaedruns,Yingke Wu"
,"['Early Access', 'Indie', 'Action', 'VR']",Panoptic,,541930,
Ultraint,"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,2017-12-29,759920,Ultraint
Seth Albertus,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",Darkness and a Crowd,2018-03-30,659780,Seth Albertus
TPM.CO SOFT WORKS,"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,2017-12-29,603280,TPM.CO SOFT WORKS
Wonderbox Games,"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,2017-12-29,753110,Wonderbox Games
Wonderbox Games,"['Action', 'Indie']",Orbitality,2017-12-29,753100,Wonderbox Games
,['Education'],Medicalholodeck Personal Version,,769350,
Mad Unicorn Games,"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,2017-12-30,764280,Mad Unicorn Games
,"['Simulation', 'Sports', 'Casual', 'Indie', 'Golf', 'VR']",Golf Masters,,374970,
,"['Adventure', 'Casual', 'Free to Play', 'Indie']",Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,758550,Emanon Studios
Majesco,['Action'],Advent Rising,2005-08-09,3800,GlyphX Games
Introversion Software,"['Indie', 'Strategy']",DEFCON,2006-09-29,1520,Introversion Software
